"Nombre Operador","Cédula","Código Ruta","Descripción Ruta","Código Ramal","Descripción Ramal","Mes","Año","pasajeroEquivalente","pasajerosTotal","Pasajeros Adulto Mayor","Pasajeros Regulares","Carreras","Ingresos"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2019","GRECIA-HIGUERONES-CRUCE CARBONAL","1","2021","","","63","398","12.5","190765"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2021","GRECIA-SANTA GERTRUDIS NORTE-CRUCE LOS CHORROS","1","2021","","","","","",""
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2022","GRECIA-SANTA GERTRUDIS NORTE-SANTA ROSA-POAS","1","2021","","","","","",""
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2023","GRECIA-SANTA GERTRUDIS SUR-POAS","1","2021","","","2977","26055","561.5","12505135"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2024","GRECIA-CALLE ROSALES-ACHIOTE-CALLE RODRIGUEZ","1","2021","","","487","4244","157.5","2036660"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2025","GRECIA-CALLE ROSALES-ACHIOTE-SANTA ROSA-POAS","1","2021","","","838","7382","179","3543210"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2026","CALLE LILES-GUATUSA-SAN RAFAEL-POAS","1","2021","","","108","938","40","450425"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2028","GRECIA-CALLE SAN JOSE-SANTA GERTRUDIS SUR-POAS","1","2021","","","1097","9598","151","4606515"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2029","GRECIA-CALLE CORINTO-CALLE MERITA","1","2021","","","","","",""
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2030","GRECIA-CALLE CORINTO-CALLE MERITA-SANTA GERTRUDIS ","1","2021","","","","","",""
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2031","SANTA ROSA-CALLE-LILES-GUATUSA-SAN RAFAEL-POAS","1","2021","","","452","3956","113","1899245"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","244","GRECIA-SAN VICENTE-LA ARENA-GUAYABAL-SANTA GERTRUDIS Y VICEVERSA, GRECIA-B LATINO-LOS ANGELES-CAJON Y VICEVERSA, GRECIA-B° LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL CON EXT. HIGUERONES Y VICEVERSA, GRECIA - COOPERATIVA - SANTA GERTRUDIS - SAN RAFAEL - SAN PEDRO DE POAS Y RAMALES","R2032","GRECIA-CALLE SAN JOSE- SANTA ROSA-GUATUSA-SAN RAFA","1","2021","","","1020","8900","209.5","4271070"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","277","SARCHÍ NORTE-PUEBLO NUEVO-EL INVU LOS ANGELES, SARCHI-ALTO CASTRO-SAN PEDRO-CALLE RATONCILLAL-LAS TROJAS Y VICEVERSA, GRECIA-ALTO CASTRO-SAN PEDRO-LA LUISA","R0933","SARCHI NORTE-SABANILLAS","1","2021","","","88","1193","70","400425"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","277","SARCHÍ NORTE-PUEBLO NUEVO-EL INVU LOS ANGELES, SARCHI-ALTO CASTRO-SAN PEDRO-CALLE RATONCILLAL-LAS TROJAS Y VICEVERSA, GRECIA-ALTO CASTRO-SAN PEDRO-LA LUISA","R2223","SARCHI-EL INVU LOS ANGELES","1","2021","","","364","4791","125","2419900"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","277","SARCHÍ NORTE-PUEBLO NUEVO-EL INVU LOS ANGELES, SARCHI-ALTO CASTRO-SAN PEDRO-CALLE RATONCILLAL-LAS TROJAS Y VICEVERSA, GRECIA-ALTO CASTRO-SAN PEDRO-LA LUISA","R2224","SARCHI-PUEBLO NUEVO","1","2021","","","121","1944","50.5","982500"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","277","SARCHÍ NORTE-PUEBLO NUEVO-EL INVU LOS ANGELES, SARCHI-ALTO CASTRO-SAN PEDRO-CALLE RATONCILLAL-LAS TROJAS Y VICEVERSA, GRECIA-ALTO CASTRO-SAN PEDRO-LA LUISA","R2225","SARCHI-ALTO CASTRO-SAN PEDRO-CALLE RATONCILLAL-LAS TROJAS","1","2021","","","326","4336","136","2187190"
"AUTOTRANSPORTES SANTA GERTRUDIS, LIMITADA","3-102-005073","277","SARCHÍ NORTE-PUEBLO NUEVO-EL INVU LOS ANGELES, SARCHI-ALTO CASTRO-SAN PEDRO-CALLE RATONCILLAL-LAS TROJAS Y VICEVERSA, GRECIA-ALTO CASTRO-SAN PEDRO-LA LUISA","R2226","GRECIA-ALTO CASTRO-SAN PEDRO-LA LUISA","1","2021","","","","","",""
"AUTOTRANSPORTES SEGURA Y VARGAS, S.A.","3-101-086988","417","HEREDIA-BARRIO ESPAÑA-MONTEBELLO-BORUCA-URBANIZACION BANCO-CALLE ANCHA-CALLE GUADALUPE (MALIBU)-URBANIZACION AMARANTO-PUENTE AMARILLO-URBANIZACION SAN GERARDO Y VICEVERSA","R1234","HEREDIA-BARRIO ESPAÑA-MONTEBELLO-BORUCA-URBANIZACI","1","2021","","","4309","35802","1208","9129510"
"AUTOTRANSPORTES TILARAN, S.A.","3-101-077736","501","SAN JOSÉ-CAÑAS Y VICEVERSA, SAN JOSÉ-TILARÁN Y VICEVERSA","R1324","SAN JOSE-CAÑAS (SERVICIO REGULAR)","1","2021","","","2","508","29","1651000"
"AUTOTRANSPORTES TILARAN, S.A.","3-101-077736","501","SAN JOSÉ-CAÑAS Y VICEVERSA, SAN JOSÉ-TILARÁN Y VICEVERSA","R1325","SAN JOSE-CAÑAS (SERVICIO DIRECTO)","1","2021","","","","300","29","975000"
"AUTOTRANSPORTES TILARAN, S.A.","3-101-077736","501","SAN JOSÉ-CAÑAS Y VICEVERSA, SAN JOSÉ-TILARÁN Y VICEVERSA","R1326","SAN JOSE-TILARAN.","1","2021","","","","896","101.5","4014080"
"AUTOTRANSPORTES ZAPOTE, S.A.","3-101-006170","65","SAN JOSE-QUESADA DURAN-ZAPOTE POR LA CORTE-POR PISTA-CURRIDABAT POR PISTA Y VICEVERSA","R0169","SAN JOSE-BARRIO QUESADA DURAN","1","2021","","","1072","5842","390","1840230"
"AUTOTRANSPORTES ZAPOTE, S.A.","3-101-006170","65","SAN JOSE-QUESADA DURAN-ZAPOTE POR LA CORTE-POR PISTA-CURRIDABAT POR PISTA Y VICEVERSA","R0172","SAN JOSE-ZAPOTE-CURRIDABAT POR LA PISTA","1","2021","","","11477","120221","2904","46285085"
"AUTOTRANSPORTES ZAPOTE, S.A.","3-101-006170","65","SAN JOSE-QUESADA DURAN-ZAPOTE POR LA CORTE-POR PISTA-CURRIDABAT POR PISTA Y VICEVERSA","R2252","SAN JOSE-ZAPOTE POR LA CORTE","1","2021","","","5859","51043","1722.5","19651555"
"AUTOVISA, S.A.","3-101-158472","430","HEREDIA-SANTA BARBARA POR BARRIO JESÚS","R1254","HEREDIA-SANTA BARBARA POR BARRIO JESÚS","1","2021","","","7698","87643","1200","21337545"
"AUTOVISA, S.A.","3-101-158472","430","HEREDIA-SANTA BARBARA POR BARRIO JESÚS","R1255","HEREDIA-SANTA BARBARA-GUACHIPELINES-CATALINA","1","2021","","","440","4553","70","1133995"
"AUTOVISA, S.A.","3-101-158472","430","HEREDIA-SANTA BARBARA POR BARRIO JESÚS","R1256","HEREDIA-SAN PEDRO-CALLE SEGURA","1","2021","","","144","1467","21.5","363380"
"AUTOVISA, S.A.","3-101-158472","430","HEREDIA-SANTA BARBARA POR BARRIO JESÚS","R1258","HEREDIA-SAN PEDRO-CALLE SOLIS","1","2021","","","198","1806","27","433825"
"BARQUI, S.A.","3-101-317787","568","LA CRUZ-PUERTO SOLEY-TEMPATAL-EL JOBO Y RAMALES","R1518","LA CRUZ-PUERTO SOLEY-TEMPATAL-EL JOBO","1","2021","","","139","1954","93","1583105"
"BARQUI, S.A.","3-101-317787","568","LA CRUZ-PUERTO SOLEY-TEMPATAL-EL JOBO Y RAMALES","R1519","LA CRUZ-SN DIMAS-LAS BRISAS-LA LIBERTAD","1","2021","","","27","452","31","499000"
"BARRANTES Y ELIZONDO, LIMITADA","3-102-006881","166","SAN ISIDRO DE EL GRAL- COCORÍ-PAVONES-LAS CENIZAS-LA ESPERANZA-LA ANGOSTURA","R0482","SAN ISIDRO DE EL GENERAL-LA ANGOSTURA","1","2021","","","150","3516","93","1291775"
"BARRANTES Y ELIZONDO, LIMITADA","3-102-006881","166","SAN ISIDRO DE EL GRAL- COCORÍ-PAVONES-LAS CENIZAS-LA ESPERANZA-LA ANGOSTURA","R2130","SAN ISIDRO DE EL GENERAL-PAVONES","1","2021","","","740","8239","248","1446790"
"BARRANTES Y ELIZONDO, LIMITADA","3-102-006881","166","SAN ISIDRO DE EL GRAL- COCORÍ-PAVONES-LAS CENIZAS-LA ESPERANZA-LA ANGOSTURA","R2131","SAN ISIDRO DE EL GENERAL-COCORI","1","2021","","","900","10000","217","1756810"
"BARRANTES Y ELIZONDO, LIMITADA","3-102-006881","166","SAN ISIDRO DE EL GRAL- COCORÍ-PAVONES-LAS CENIZAS-LA ESPERANZA-LA ANGOSTURA","R2132","SAN ISIDRO DE EL GENERAL-LA ESPERANZA","1","2021","","","64","1677","62","671725"
"BUSES INA-URUCA, S.A.","3-101-031606","10","SAN JOSE-LA URUCA Y RAMALES","R0066","SAN JOSE-HOSPITAL MEXICO POR LA URUCA","1","2021","","","1163","21003","592","7141020"
"BUSES INA-URUCA, S.A.","3-101-031606","10","SAN JOSE-LA URUCA Y RAMALES","R0067","SAN JOSE-LA URUCA-LA PEREGRINA","1","2021","","","3608","42540","1339","14463600"
"BUSES INA-URUCA, S.A.","3-101-031606","10","SAN JOSE-LA URUCA Y RAMALES","R0068","SAN JOSE-BARRIO CORAZON DE JESUS","1","2021","","","479","8430","472","2866200"
"BUSES INA-URUCA, S.A.","3-101-031606","10","SAN JOSE-LA URUCA Y RAMALES","R0069","SAN JOSE-LEON XIII","1","2021","","","11531","143082","3321","48647880"
"BUSES INA-URUCA, S.A.","3-101-031606","10","SAN JOSE-LA URUCA Y RAMALES","R0070","SAN JOSE-HOSPITAL MEXICO POR PISTA","1","2021","","","3765","69554","1807","23648360"
"BUSES INA-URUCA, S.A.","3-101-031606","10","SAN JOSE-LA URUCA Y RAMALES","R0072","SAN JOSE-ROSSITER CARBALLO POR URUCA","1","2021","","","608","14556","498","4949040"
"BUSES INA-URUCA, S.A.","3-101-031606","10","SAN JOSE-LA URUCA Y RAMALES","R0073","SAN JOSE-LA CARPIO POR URUCA","1","2021","","","4475","124701","2747","42398340"
"BUSES INA-URUCA, S.A.","3-101-031606","10","SAN JOSE-LA URUCA Y RAMALES","R0074","SAN JOSE-LA CARPIO POR PISTA","1","2021","","","8705","307191","6062","104444940"
"BUSES INA-URUCA, S.A.","3-101-031606","10","SAN JOSE-LA URUCA Y RAMALES","R2236","SAN JOSE-ROSSITER CARBALLO POR PISTA","1","2021","","","997","23331","832","7932540"
"BUSES INA-URUCA, S.A.","3-101-031606","I-4","URUCA - GUADALUPE","R0003","URUCA - GUADALUPE ","1","2021","","","834","14522","336","5590970"
"BUSES INA-URUCA, S.A.","3-101-031606","I-5","URUCA-ESCAZU","R0004","URUCA-ESCAZU","1","2021","","","85","4848","196","1866480"
"BUSES METROPOLI, S.A.","3-101-097990","307","CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA","R1019","SAN JOSE-VOLCAN IRAZU","1","2021","","","64","2314","26.5","1273745"
"BUSES METROPOLI, S.A.","3-101-097990","307","CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA","R1021","CARTAGO-COT DE OREAMUNO Y VICEVERSA","1","2021","","","2115","65083","1225.5","22203970"
"BUSES METROPOLI, S.A.","3-101-097990","307","CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA","R1022","CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO","1","2021","","","1068","34566","593","18109765"
"BUSES METROPOLI, S.A.","3-101-097990","307","CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA","R1023","CARTAGO-TIERRA BLANCA","1","2021","","","74","3635","58","1766460"
"BUSES METROPOLI, S.A.","3-101-097990","307","CARTAGO-COT-SAN JOSE –VOLCAN IRAZU-CARTAGO-TIERRA BLANCA-POTRERO CERRADO-SANATORIO   CARTAGO-SAN JUAN DE CHICUA-LA PASTORA","R1025","CARTAGO-SAN JUAN DE CHICUA-LA PASTORA","1","2021","","","187","7151","94","4826745"
"BUSES SAN IGNACIO DE LOYOLA, S.A.","3-101-109229","322","CARTAGO-LOYOLA-QUIRCOT CON EXTENSIONES A BARRIO EL CARMEN-SAN RAFAEL-COOPERROSALES-PARQUE INDUSTRIAL-LOS COLEGIOS Y VICEVERSA","R1059","CARTAGO-LOYOLA-PEDREGAL-QUIRCOT","1","2021","","","3816","26398","1860","7523430"
"BUSES SAN IGNACIO DE LOYOLA, S.A.","3-101-109229","322","CARTAGO-LOYOLA-QUIRCOT CON EXTENSIONES A BARRIO EL CARMEN-SAN RAFAEL-COOPERROSALES-PARQUE INDUSTRIAL-LOS COLEGIOS Y VICEVERSA","R1060","CARTAGO-EL CARMEN- QUIRCOT-SAN RAFAEL","1","2021","","","","","",""
"BUSES SAN IGNACIO DE LOYOLA, S.A.","3-101-109229","322","CARTAGO-LOYOLA-QUIRCOT CON EXTENSIONES A BARRIO EL CARMEN-SAN RAFAEL-COOPERROSALES-PARQUE INDUSTRIAL-LOS COLEGIOS Y VICEVERSA","R1061","CARTAGO-EL CARMEN-QUIRCOT-COOPERROSALES","1","2021","","","1050","5232","484","1883520"
"BUSES SAN IGNACIO DE LOYOLA, S.A.","3-101-109229","322","CARTAGO-LOYOLA-QUIRCOT CON EXTENSIONES A BARRIO EL CARMEN-SAN RAFAEL-COOPERROSALES-PARQUE INDUSTRIAL-LOS COLEGIOS Y VICEVERSA","R1062","CARTAGO-QUIRCOT-PEDREGAL-PARQUE INDUSTRIAL","1","2021","","","","298","20","96850"
"BUSETAS HEREDIANAS, S.A.","3-101-058765","400 BS","SAN JOSE-HEREDIA x PISTA (BUSETAS)","R1179","SAN JOSE-HEREDIA x PISTA","1","2021","","","6146","171166","3287","100132110"
"BUSMI, S.A.","3-101-074253","120","SAN JOSE-HIGUITO DE DESAMPARADOS Y RAMALES","R0268","SAN JOSE-RODILLAL","1","2021","","","6573","7120","116.5","2432010"
"BUSMI, S.A.","3-101-074253","120","SAN JOSE-HIGUITO DE DESAMPARADOS Y RAMALES","R0269","SAN JOSE-HIGUITO-ENCINALES","1","2021","","","48152","52722","915.5","17816240"
"BUSMI, S.A.","3-101-074253","120","SAN JOSE-HIGUITO DE DESAMPARADOS Y RAMALES","R0270","SAN JOSE-HIGUITO-CALLE VALVERDE-SANTA BARBARA","1","2021","","","98778","108845","1676.5","36547860"
"BUSMI, S.A.","3-101-074253","120","SAN JOSE-HIGUITO DE DESAMPARADOS Y RAMALES","R0271","SAN JOSE-HIGUITO-EL LLANO","1","2021","","","7859","8628","160.5","2907830"
"BUSMI, S.A.","3-101-074253","120","SAN JOSE-HIGUITO DE DESAMPARADOS Y RAMALES","R0272","SAN JOSE-HIGUITO-EL HUAZO","1","2021","","","65080","71802","1175.5","24079600"
"BUSMI, S.A.","3-101-074253","120","SAN JOSE-HIGUITO DE DESAMPARADOS Y RAMALES","R0273","SAN JOSE-URB EL LINCE DE HIGUITO","1","2021","","","17124","18528","293.5","6335880"
"BUSMI, S.A.","3-101-074253","120","SAN JOSE-HIGUITO DE DESAMPARADOS Y RAMALES","R0274","SAN JOSE-HIGUITO-SABANILLAS","1","2021","","","42669","47088","724","15787530"
"CAGUA DE ALAJUELA, S.A.","3-101-073290","1236","ALAJUELA-CANOAS-CARRIZAL Y VICEVERSA","R0916","ALAJUELA-CANOAS-CARRIZAL","1","2021","","","3959","60200","1668","20380245"
"CAGUA DE ALAJUELA, S.A.","3-101-073290","227","ALAJUELA-CANOAS-PROVIDENCIA-GUADALUPE-PUENTE NEGRO-LOS ANGELES-EL LLANO-LA GUARIA Y VICEVERSA","R0614","ALAJUELA-PUENTE NEGRO","1","2021","","","6617","58174","2330","18033940"
"CAGUA DE ALAJUELA, S.A.","3-101-073290","227","ALAJUELA-CANOAS-PROVIDENCIA-GUADALUPE-PUENTE NEGRO-LOS ANGELES-EL LLANO-LA GUARIA Y VICEVERSA","R0616","ALAJUELA-AZUCELAS-LA LOMA","1","2021","","","79","957","42","296670"
"CAGUA DE ALAJUELA, S.A.","3-101-073290","227","ALAJUELA-CANOAS-PROVIDENCIA-GUADALUPE-PUENTE NEGRO-LOS ANGELES-EL LLANO-LA GUARIA Y VICEVERSA","R0617","ALAJUELA-LOS ANGELES-LA GUARIA-CALLE FLORY","1","2021","","","1004","5149","234","1596190"
"CAGUA DE ALAJUELA, S.A.","3-101-073290","227","ALAJUELA-CANOAS-PROVIDENCIA-GUADALUPE-PUENTE NEGRO-LOS ANGELES-EL LLANO-LA GUARIA Y VICEVERSA","R0618","ALAJUELA-CANOAS-PROVIDENCIA","1","2021","","","564","4793","279","1485830"
"CALVO Y ALFARO S.A","3-101-089309","226","ALAJUELA-EL CACAO-ALTOS DE RINCÓN-URBANIZACIÓN COLINAS-URBANIZACIÓN LOS ALPES","R0613","ALAJUELA-EL CACAO-ALTOS DE RINCÓN-URBANIZACIÓN COLINAS-URBANIZACIÓN LOS ALPES","1","2021","","","3059","87243","1465","28567040"
"CAMPOS RODRIGUEZ MANSION S.A.","3-101-231744","517","NICOYA – PIAVE– MATAMBA – SANTA ANA – PARQUE BARRA HONDA – NICARAGÜITA– BARRA HONDA Y VICEVERSA","R2355","","1","2021","","","77","714","25","123200"
"CAMPOS RODRIGUEZ MANSION S.A.","3-101-231744","546","NICOYA BARRA HONDA-QUEBRADA HONDA-SONZAPOTE-PUERTO MORENO- ROBLAR Y VICEVERSA","R1491","NICOYA-EL ROBLAR","1","2021","","","86","1278","25","1267600"
"CAMPOS RODRIGUEZ MANSION S.A.","3-101-231744","546","NICOYA BARRA HONDA-QUEBRADA HONDA-SONZAPOTE-PUERTO MORENO- ROBLAR Y VICEVERSA","R1492","NICOYA-QUEBRADA HONDA","1","2021","","","89","2636","50","2640900"
"CAMPOS RODRIGUEZ MANSION S.A.","3-101-231744","546","NICOYA BARRA HONDA-QUEBRADA HONDA-SONZAPOTE-PUERTO MORENO- ROBLAR Y VICEVERSA","R1501","NICOYA-PUERTO MORENO","1","2021","","","78","1066","37.5","1067500"
"CENBUS S.A.","3-101-031898","58","SAN JOSE-CONCEPCION DE LA UNION","R0194","SAN JOSE-SAN FRANCISCO","1","2021","","","6369","138130","2313","58856790"
"CIPARO, S.A.","3-101-093327","317","TURRIALBA-BARRIO RECOPE-CEDROS-BARRIO MARGOT-SAN RAFAEL-JORGE DE BRAVO- RESIDENCIAL EL COYOL- LA ISABEL-EL MORA-CARMEN LYRA- AZUL-VEROLIZ  Y VICEVERSA","R1053","TURRIALBA-Bº RECOPE Y VICEVERSA","1","2021","","","384","4901","134","1396785"
"CIPARO, S.A.","3-101-093327","317","TURRIALBA-BARRIO RECOPE-CEDROS-BARRIO MARGOT-SAN RAFAEL-JORGE DE BRAVO- RESIDENCIAL EL COYOL- LA ISABEL-EL MORA-CARMEN LYRA- AZUL-VEROLIZ  Y VICEVERSA","R1054","TURRIALBA-CARMEN LYRA Y VICEVERSA","1","2021","","","1369","16432","247","5011760"
"CIPARO, S.A.","3-101-093327","317","TURRIALBA-BARRIO RECOPE-CEDROS-BARRIO MARGOT-SAN RAFAEL-JORGE DE BRAVO- RESIDENCIAL EL COYOL- LA ISABEL-EL MORA-CARMEN LYRA- AZUL-VEROLIZ  Y VICEVERSA","R1055","TURRIALBA-EL MORA-AZUL-VEROLIZ Y VICEVERSA","1","2021","","","2279","29568","403","9018240"
"CIPARO, S.A.","3-101-093327","317","TURRIALBA-BARRIO RECOPE-CEDROS-BARRIO MARGOT-SAN RAFAEL-JORGE DE BRAVO- RESIDENCIAL EL COYOL- LA ISABEL-EL MORA-CARMEN LYRA- AZUL-VEROLIZ  Y VICEVERSA","R1056","TURRIALBA-RESIDENCIAL EL COYOL Y VICEVERSA","1","2021","","","187","2652","100","808955"
"COMPAÑIA CARBACHEZ E HIJOS, E.I.R.L.","3-105-175606","271","SAN RAMON-PALMARES-SAN MIGUEL-NARANJO Y VICEVERSA","R0786","SAN MIGUEL-NARANJO Y VICEVERSA","1","2021","","","478","7488","313","1927750"
"COMPAÑIA CARBACHEZ E HIJOS, E.I.R.L.","3-105-175606","271","SAN RAMON-PALMARES-SAN MIGUEL-NARANJO Y VICEVERSA","R0797","SAN RAMON-NARANJO Y VICEVERSA x PISTA","1","2021","","","3192","42242","915.5","23039500"
"COMPAÑIA CARBACHEZ E HIJOS, E.I.R.L.","3-105-175606","271","SAN RAMON-PALMARES-SAN MIGUEL-NARANJO Y VICEVERSA","R0798","SAN RAMON-PALMARES-NARANJO Y VICEVERSA x CARRETERA VIEJA","1","2021","","","1932","22257","248","7349695"
"COMPAÑIA CARBACHEZ E HIJOS, E.I.R.L.","3-105-175606","271","SAN RAMON-PALMARES-SAN MIGUEL-NARANJO Y VICEVERSA","R0799","SAN RAMON-PALMARES Y VICEVERSA x PISTA","1","2021","","","3024","55049","1845","18468875"
"COMPAÑIA CARBACHEZ E HIJOS, E.I.R.L.","3-105-175606","271","SAN RAMON-PALMARES-SAN MIGUEL-NARANJO Y VICEVERSA","R2114","PALMARES-NARANJO Y VICEVERSA X PISTA","1","2021","","","1134","17868","868","7697640"
"COMPAÑIA CARBACHEZ E HIJOS, E.I.R.L.","3-105-175606","271","SAN RAMON-PALMARES-SAN MIGUEL-NARANJO Y VICEVERSA","R2183","SAN RAMON-PALMARES-NARANJO Y VICEVERSA x PISTA","1","2021","","","500","5044","378","2535325"
"COMPAÑIA CARBACHEZ E HIJOS, E.I.R.L.","3-105-175606","272","SAN RAMON-SAN ISIDRO DE PEÑAS BLANCAS-LOS ANGELES DE LA FORTUNA CON EXTENSION CHACHAGUA DE LA FORTUNA Y VICEVERSA","R0802","SAN RAMON-LA FORTUNA DE SAN CARLOS","1","2021","","","1372","17500","168","18273835"
